,Core Goods,Housing,Core Services
202412,-0.16,4.7,3.62
202501,0.3,4.5,3.2
202502,0.42,4.33,3.62
202503,0.08,4.29,3.35
202504,0.26,4.23,3.13
202505,0.68,4.07,3.21
202506,0.97,4.08,3.15
202507,1.08,3.96,3.32
202508,1.16,3.85,3.35
202509,#N/A,#N/A,#N/A
202510,#N/A,#N/A,#N/A
202511,#N/A,#N/A,#N/A
202512,#N/A,#N/A,#N/A
